Cust_id,target_flag,w1_IS_CALL_ACTIVE,w1_IS_SMS_ACTIVE,w1_IS_INTERNET_ACTIVE,w1_IS_VAS_ACTIVE,w1_IS_PRODUCT_ACTIVE,w1_IS_RECHARGE_ACTIVE,w1_TOTAL_REVENUE,w1_CALL_COUNT,w1_GPRS_VOLUME,w1_LOAN_COUNT,w1_TOTAL_TRAFFIC_REVENUE,w1_CALL_REVENUE,W1_U_SBSCRP_REV_T6,W1_U_VAS_REV_T6,w1U_IB_VC_CC_CNT_T6,W1_RECH_AMT,W1_U_VAS_LNRTRN_CNT_T6
353,0,7,7,0,7,7,1,134.695,163,0,1,22.575,20.375,98.12,29,7,150,1
354,0,7,0,5,2,1,0,0,110,884593,0,0,0,0,0,7,0,4
356,0,1,0,1,1,1,1,30.8542,3,44344,1,15.8542,4.875,10,20,7,30,4
357,0,7,0,0,1,1,1,90,103,0,0,0,0,0,0,6,90,3
358,0,0,0,7,0,1,1,169,0,1582206,0,0,0,0,0,4,169,3
359,0,6,3,7,6,7,1,140.175,99,2896608,2,24.175,20.775,100,27.5,7,110,4
360,0,7,0,7,7,7,1,205.3222,42,4647315,1,25.3422,13.875,160,34.98,4,200,1
361,0,6,2,1,7,7,1,57.075,11,128546,1,28.075,23.875,15,29,4,50,1
362,0,7,0,4,0,0,0,0,62,7895,0,0,0,0,0,7,0,0
363,0,7,0,7,7,7,1,96.425,65,93823,0,10.925,10.325,75,10.5,6,100,0
